station_uid,max_electric_power,max_voltage,power_type_id,plug_type_id,plug_format_id,type,format
01d6144f-9d64-412c-ad89-c93390034954,300000,600,3,21,2,COMBO,CABLE
1e93ed5f-9a83-4c67-8b22-1502d32bd28d,300000,600,3,21,2,COMBO,CABLE
43f3f0dd-fc8d-450c-9d55-fdd4012d846f,300000,600,3,21,2,COMBO,CABLE
7f1f0533-42e1-4d7c-8256-9971e74fc8c6,62500,500,3,21,2,COMBO,CABLE
cf3c34b2-d271-41aa-bbd2-6ea19c04cadc,62500,500,3,21,2,COMBO,CABLE
cf3c34b2-d271-41aa-bbd2-6ea19c04cadc,62500,500,3,1,2,CHADEMO,CABLE
8a34ec8b-6eb0-45d0-ba6b-a9d6ebe92e76,300000,600,3,21,2,COMBO,CABLE
10afb026-2c6b-4bba-919d-b456f938d8c7,300000,600,3,21,2,COMBO,CABLE
77ebe5f4-85ae-4c25-a55a-07accd2014e9,300000,600,3,21,2,COMBO,CABLE
4c8fc4ed-50d8-4065-83c3-10243bd3f0f6,62500,500,3,21,2,COMBO,CABLE
b878b57b-dcb4-4a0b-b3d3-c16acf5c43de,62500,500,3,21,2,COMBO,CABLE
52247978-7e74-451b-8644-32498a786ef2,300000,600,3,21,2,COMBO,CABLE
18b4b51b-ede4-4b72-bc6a-771cfdb5fadd,300000,600,3,21,2,COMBO,CABLE
eaa9cb74-4905-4f2a-ab71-cbfad30bf0bd,300000,600,3,21,2,COMBO,CABLE
cae54f5f-40ee-4629-b8f6-f33c15d2155c,62500,500,3,21,2,COMBO,CABLE
fa62bda7-a303-4cd7-9d59-c26a2c8a9771,62500,500,3,21,2,COMBO,CABLE
58fe3799-5248-4eb1-a3f3-a461abb58843,62500,500,3,1,2,CHADEMO,CABLE
f64a4320-c7c0-4977-81cd-4ae04e2e6b29,300000,600,3,21,2,COMBO,CABLE
ab6ea651-abd5-4034-89b8-e77ed42f5c16,300000,600,3,21,2,COMBO,CABLE
c38839bc-cea7-4d4e-b2d4-9e60040c3903,62500,500,3,1,2,CHADEMO,CABLE
2b3e85d9-4795-4421-a80c-9862e2b43ded,300000,600,3,21,2,COMBO,CABLE
6f39f638-d304-4717-ac04-7f8b3d5aac8a,62500,500,3,21,2,COMBO,CABLE
048e6d30-21ae-4642-9665-cbbb707debc8,300000,600,3,21,2,COMBO,CABLE
63cf4d55-7846-4bde-bd60-18e6099037d6,62500,500,3,21,2,COMBO,CABLE
881ab7a1-0dcb-4ee2-9984-c4a5b0f29510,62500,500,3,21,2,COMBO,CABLE
0e06f469-a4ae-489d-baef-724beddad540,300000,600,3,21,2,COMBO,CABLE
75f46bbb-8dee-42ff-8d68-c2d53e85efa3,300000,600,3,21,2,COMBO,CABLE
c8950b2f-d34f-4124-8427-b3a112bd3a04,300000,600,3,21,2,COMBO,CABLE
eff8bb4b-2784-405c-8874-d7d3432236a5,62500,500,3,1,2,CHADEMO,CABLE
ec7930f9-1327-4799-9a06-bfd5ee331178,300000,600,3,21,2,COMBO,CABLE
f0a87cf4-5597-4ede-adcf-cdc25e62184a,300000,600,3,21,2,COMBO,CABLE
7f8df90e-b049-4094-b189-5a1461562f3e,300000,600,3,21,2,COMBO,CABLE
56c9b9df-e3e0-4dc9-8a93-8418bb643a07,62500,500,3,21,2,COMBO,CABLE
